QTY,MAT,TEXTDATA,WIDTH,HEIGHT,TEXT HEIGHT
1,WH/BK,"C001DIT1
ISOLATION TRANSFORMER",101.6,50.8,8
1,WH/BK,"MAX Plant Drop = 100 A
Drop Calc FLA = 31.52 A
Drop Calc Inrush = 315.2 A
Q1 3-Phase Calc FLA = 25.4 A
Q1 3-Phase Calc Inrush = 254 A
Q2 1-Phase Calc Inrush = 24.48 A
Duty cycle % Q1/Q2 = 100 % / 100 %",101.6,50.8,5
1,YEL/BK,"C001SBK01MPW1T01
CAUTION: DO NOT BYPASS
24VDC MOTION POWER
OG PWR SEPARATION ""T""",88.9,38.1,6
1,YEL/BK,"C001SBK01MPW2T01
CAUTION: DO NOT BYPASS
24VDC MOTION POWER
OG PWR SEPARATION ""T""",88.9,38.1,6
1,WH/BK,"C001SGT1
SAFETY GATE SWITCH",50.8,31.75,8
1,YEL/BK,"C005SBK01MPW2T01
CAUTION: DO NOT BYPASS
24VDC MOTION POWER
OG PWR SEPARATION ""T""",88.9,38.1,6
1,YEL/BK,"C005SBK01MPW1T01
CAUTION: DO NOT BYPASS
24VDC MOTION POWER
OG PWR SEPARATION ""T""",88.9,38.1,6
1,YEL/BK,"C005SBK01MPW1T02
CAUTION: DO NOT BYPASS
24VDC MOTION POWER
T STYLE",88.9,38.1,6
